actor_id,first_name,middle_name,last_name,last_update
76,ANGELINA,NULL,ASTAIRE,"2006-02-15 04:34:33"
77,CARY,NULL,MCCONAUGHEY,"2006-02-15 04:34:33"
78,GROUCHO,NULL,SINATRA,"2006-02-15 04:34:33"
79,MAE,NULL,HOFFMAN,"2006-02-15 04:34:33"
80,RALPH,NULL,CRUZ,"2006-02-15 04:34:33"
81,SCARLETT,NULL,DAMON,"2006-02-15 04:34:33"
82,WOODY,NULL,JOLIE,"2006-02-15 04:34:33"
83,BEN,NULL,WILLIS,"2006-02-15 04:34:33"
84,JAMES,NULL,PITT,"2006-02-15 04:34:33"
85,MINNIE,NULL,ZELLWEGER,"2006-02-15 04:34:33"
86,GREG,NULL,CHAPLIN,"2006-02-15 04:34:33"
87,SPENCER,NULL,PECK,"2006-02-15 04:34:33"
88,KENNETH,NULL,PESCI,"2006-02-15 04:34:33"
89,CHARLIZE,NULL,DENCH,"2006-02-15 04:34:33"
90,SEAN,NULL,GUINESS,"2006-02-15 04:34:33"
91,CHRISTOPHER,NULL,BERRY,"2006-02-15 04:34:33"
92,KIRSTEN,NULL,AKROYD,"2006-02-15 04:34:33"
93,ELLEN,NULL,PRESLEY,"2006-02-15 04:34:33"
94,KENNETH,NULL,TORN,"2006-02-15 04:34:33"
95,DARYL,NULL,WAHLBERG,"2006-02-15 04:34:33"
96,GENE,NULL,WILLIS,"2006-02-15 04:34:33"
97,MEG,NULL,HAWKE,"2006-02-15 04:34:33"
98,CHRIS,NULL,BRIDGES,"2006-02-15 04:34:33"
99,JIM,NULL,MOSTEL,"2006-02-15 04:34:33"
100,SPENCER,NULL,DEPP,"2006-02-15 04:34:33"
101,SUSAN,NULL,DAVIS,"2006-02-15 04:34:33"
102,WALTER,NULL,TORN,"2006-02-15 04:34:33"
103,MATTHEW,NULL,LEIGH,"2006-02-15 04:34:33"
104,PENELOPE,NULL,CRONYN,"2006-02-15 04:34:33"
105,SIDNEY,NULL,CROWE,"2006-02-15 04:34:33"
106,GROUCHO,NULL,DUNST,"2006-02-15 04:34:33"
107,GINA,NULL,DEGENERES,"2006-02-15 04:34:33"
108,WARREN,NULL,NOLTE,"2006-02-15 04:34:33"
109,SYLVESTER,NULL,DERN,"2006-02-15 04:34:33"
110,SUSAN,NULL,DAVIS,"2006-02-15 04:34:33"
111,CAMERON,NULL,ZELLWEGER,"2006-02-15 04:34:33"
112,RUSSELL,NULL,BACALL,"2006-02-15 04:34:33"
113,MORGAN,NULL,HOPKINS,"2006-02-15 04:34:33"
114,MORGAN,NULL,MCDORMAND,"2006-02-15 04:34:33"
115,HARRISON,NULL,BALE,"2006-02-15 04:34:33"
116,DAN,NULL,STREEP,"2006-02-15 04:34:33"
117,RENEE,NULL,TRACY,"2006-02-15 04:34:33"
118,CUBA,NULL,ALLEN,"2006-02-15 04:34:33"
119,WARREN,NULL,JACKMAN,"2006-02-15 04:34:33"
120,PENELOPE,NULL,MONROE,"2006-02-15 04:34:33"
121,LIZA,NULL,BERGMAN,"2006-02-15 04:34:33"
122,SALMA,NULL,NOLTE,"2006-02-15 04:34:33"
123,JULIANNE,NULL,DENCH,"2006-02-15 04:34:33"
124,SCARLETT,NULL,BENING,"2006-02-15 04:34:33"
125,ALBERT,NULL,NOLTE,"2006-02-15 04:34:33"
126,FRANCES,NULL,TOMEI,"2006-02-15 04:34:33"
127,KEVIN,NULL,GARLAND,"2006-02-15 04:34:33"
128,CATE,NULL,MCQUEEN,"2006-02-15 04:34:33"
129,DARYL,NULL,CRAWFORD,"2006-02-15 04:34:33"
130,GRETA,NULL,KEITEL,"2006-02-15 04:34:33"
131,JANE,NULL,JACKMAN,"2006-02-15 04:34:33"
132,ADAM,NULL,HOPPER,"2006-02-15 04:34:33"
133,RICHARD,NULL,PENN,"2006-02-15 04:34:33"
134,GENE,NULL,HOPKINS,"2006-02-15 04:34:33"
135,RITA,NULL,REYNOLDS,"2006-02-15 04:34:33"
136,ED,NULL,MANSFIELD,"2006-02-15 04:34:33"
137,MORGAN,NULL,WILLIAMS,"2006-02-15 04:34:33"
138,LUCILLE,NULL,DEE,"2006-02-15 04:34:33"
139,EWAN,NULL,GOODING,"2006-02-15 04:34:33"
140,WHOOPI,NULL,HURT,"2006-02-15 04:34:33"
141,CATE,NULL,HARRIS,"2006-02-15 04:34:33"
142,JADA,NULL,RYDER,"2006-02-15 04:34:33"
143,RIVER,NULL,DEAN,"2006-02-15 04:34:33"
144,ANGELA,NULL,WITHERSPOON,"2006-02-15 04:34:33"
145,KIM,NULL,ALLEN,"2006-02-15 04:34:33"
146,ALBERT,NULL,JOHANSSON,"2006-02-15 04:34:33"
147,FAY,NULL,WINSLET,"2006-02-15 04:34:33"
148,EMILY,NULL,DEE,"2006-02-15 04:34:33"
149,RUSSELL,NULL,TEMPLE,"2006-02-15 04:34:33"
150,JAYNE,NULL,NOLTE,"2006-02-15 04:34:33"
151,GEOFFREY,NULL,HESTON,"2006-02-15 04:34:33"
152,BEN,NULL,HARRIS,"2006-02-15 04:34:33"
153,MINNIE,NULL,KILMER,"2006-02-15 04:34:33"
154,MERYL,NULL,GIBSON,"2006-02-15 04:34:33"
155,IAN,NULL,TANDY,"2006-02-15 04:34:33"
156,FAY,NULL,WOOD,"2006-02-15 04:34:33"
157,GRETA,NULL,MALDEN,"2006-02-15 04:34:33"
158,VIVIEN,NULL,BASINGER,"2006-02-15 04:34:33"
159,LAURA,NULL,BRODY,"2006-02-15 04:34:33"
160,CHRIS,NULL,DEPP,"2006-02-15 04:34:33"
161,HARVEY,NULL,HOPE,"2006-02-15 04:34:33"
162,OPRAH,NULL,KILMER,"2006-02-15 04:34:33"
163,CHRISTOPHER,NULL,WEST,"2006-02-15 04:34:33"
164,HUMPHREY,NULL,WILLIS,"2006-02-15 04:34:33"
165,AL,NULL,GARLAND,"2006-02-15 04:34:33"
166,NICK,NULL,DEGENERES,"2006-02-15 04:34:33"
167,LAURENCE,NULL,BULLOCK,"2006-02-15 04:34:33"
168,WILL,NULL,WILSON,"2006-02-15 04:34:33"
169,KENNETH,NULL,HOFFMAN,"2006-02-15 04:34:33"
170,MENA,NULL,HOPPER,"2006-02-15 04:34:33"
171,OLYMPIA,NULL,PFEIFFER,"2006-02-15 04:34:33"
172,GROUCHO,NULL,WILLIAMS,"2006-02-15 04:34:33"
173,ALAN,NULL,DREYFUSS,"2006-02-15 04:34:33"
174,MICHAEL,NULL,BENING,"2006-02-15 04:34:33"
175,WILLIAM,NULL,HACKMAN,"2006-02-15 04:34:33"
176,JON,NULL,CHASE,"2006-02-15 04:34:33"
177,GENE,NULL,MCKELLEN,"2006-02-15 04:34:33"
178,LISA,NULL,MONROE,"2006-02-15 04:34:33"
179,ED,NULL,GUINESS,"2006-02-15 04:34:33"
180,JEFF,NULL,SILVERSTONE,"2006-02-15 04:34:33"
181,MATTHEW,NULL,CARREY,"2006-02-15 04:34:33"
182,DEBBIE,NULL,AKROYD,"2006-02-15 04:34:33"
183,RUSSELL,NULL,CLOSE,"2006-02-15 04:34:33"
184,HUMPHREY,NULL,GARLAND,"2006-02-15 04:34:33"
185,MICHAEL,NULL,BOLGER,"2006-02-15 04:34:33"
186,JULIA,NULL,ZELLWEGER,"2006-02-15 04:34:33"
187,RENEE,NULL,BALL,"2006-02-15 04:34:33"
188,ROCK,NULL,DUKAKIS,"2006-02-15 04:34:33"
189,CUBA,NULL,BIRCH,"2006-02-15 04:34:33"
190,AUDREY,NULL,BAILEY,"2006-02-15 04:34:33"
191,GREGORY,NULL,GOODING,"2006-02-15 04:34:33"
192,JOHN,NULL,SUVARI,"2006-02-15 04:34:33"
193,BURT,NULL,TEMPLE,"2006-02-15 04:34:33"
194,MERYL,NULL,ALLEN,"2006-02-15 04:34:33"
195,JAYNE,NULL,SILVERSTONE,"2006-02-15 04:34:33"
196,BELA,NULL,WALKEN,"2006-02-15 04:34:33"
197,REESE,NULL,WEST,"2006-02-15 04:34:33"
198,MARY,NULL,KEITEL,"2006-02-15 04:34:33"
199,JULIA,NULL,FAWCETT,"2006-02-15 04:34:33"
200,THORA,NULL,TEMPLE,"2006-02-15 04:34:33"
